"","ADP.Open","ADP.High","ADP.Low","ADP.Close","ADP.Volume","ADP.Adjusted"
"2022-03-16",212.990005,214.559998,207.860001,212.460007,2086300,209.530548
"2022-03-17",211.720001,214,211.350006,213.919998,1453700,210.970383
"2022-03-18",213.919998,217.470001,212.229996,214.690002,6168400,211.729782
"2022-03-21",214.25,215.279999,210.360001,212.529999,2064500,209.599564
"2022-03-22",212.660004,215.550003,211.369995,215.210007,1893900,212.242615
"2022-03-23",215.779999,215.789993,212.470001,212.570007,1120200,209.639008
"2022-03-24",213.839996,217.089996,212.710007,216.949997,1153300,213.958603
"2022-03-25",217.710007,219.070007,216.529999,219.039993,1249800,216.019806
"2022-03-28",219.089996,220.669998,218.119995,220.649994,1202800,217.607605
"2022-03-29",222.860001,225.440002,222,224.949997,1560800,221.848312
"2022-03-30",223.679993,228.520004,222.639999,227.759995,1628800,224.619553
"2022-03-31",229.179993,232.070007,227.529999,227.539993,3306800,224.402588
"2022-04-01",228.270004,233.899994,227.089996,233.5,1934800,230.280426
"2022-04-04",233.759995,236.130005,233.369995,235.179993,1962700,231.937241
"2022-04-05",234.929993,240.630005,234.550003,238,2519300,234.718384
"2022-04-06",235.690002,239.050003,235.380005,237.789993,2308600,234.511276
"2022-04-07",236.580002,239.559998,236.550003,238.5,2141700,235.211472
"2022-04-08",238.380005,239.679993,236.770004,237.710007,1469300,234.432388
"2022-04-11",237.729996,238.720001,230.580002,230.960007,2087400,227.775452
"2022-04-12",234.259995,234.929993,230.600006,231.059998,1703600,227.874069
"2022-04-13",231.850006,234.169998,231.779999,233.740005,1566200,230.51712
"2022-04-14",233.740005,234.669998,228.619995,229.199997,2213600,226.039703
"2022-04-18",228,229.779999,225.300003,227.199997,2253000,224.067291
"2022-04-19",227.199997,230.460007,225.389999,229.600006,2263300,226.434204
"2022-04-20",231.770004,233.119995,231.089996,232.619995,1545700,229.412567
"2022-04-21",233.369995,235.25,229.570007,230.179993,1343100,227.006195
"2022-04-22",230.589996,232.199997,223.300003,223.520004,1622300,220.438034
"2022-04-25",223.169998,227.410004,221.710007,227.059998,1810300,223.929214
"2022-04-26",224.639999,227.220001,222.169998,222.279999,2175600,219.215118
"2022-04-27",225,232.779999,223.479996,228,2292300,224.856262
"2022-04-28",229.220001,231.690002,227.580002,229.679993,2248200,226.513092
"2022-04-29",228.679993,229.160004,217.479996,218.179993,2621400,215.171646
"2022-05-02",219.789993,222.039993,215.130005,219.320007,2283200,216.295944
"2022-05-03",219.970001,222.949997,219.130005,221.539993,1957300,218.485321
"2022-05-04",221.820007,229.419998,220.309998,228.880005,1631500,225.724121
"2022-05-05",228.289993,228.289993,216.149994,218.559998,2103500,215.546417
"2022-05-06",217.169998,218.199997,213.910004,216.940002,1581600,213.948776
"2022-05-09",214.039993,215.229996,209.139999,209.789993,2602600,206.897339
"2022-05-10",212.669998,214.869995,209.350006,212.339996,2527400,209.412186
"2022-05-11",210.639999,214.029999,207.770004,208.529999,2111100,205.654709
"2022-05-12",207.339996,208.869995,204.320007,207.479996,1912600,204.619186
"2022-05-13",209.270004,209.979996,206.869995,208.789993,2390800,205.911133
"2022-05-16",208.619995,209.919998,205.759995,208.600006,1941200,205.72374
"2022-05-17",211.800003,215.580002,210.860001,214.960007,1836500,211.996078
"2022-05-18",213.479996,213.580002,207.800003,208.5,1628800,205.625122
"2022-05-19",208.080002,209.550003,205.539993,206.850006,1617900,203.997894
"2022-05-20",208.860001,209.869995,203.630005,208.639999,2651300,205.763199
"2022-05-23",211.289993,213.089996,209.729996,212.960007,1488200,210.023651
"2022-05-24",212.009995,213.600006,209.779999,212.729996,1863700,209.796799
