"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2022-05-05",163.850006,164.080002,154.949997,156.770004,130525300,155.826065
"2022-05-06",156.009995,159.440002,154.179993,157.279999,116124600,156.562683
"2022-05-09",154.929993,155.830002,151.490005,152.059998,131577900,151.366486
"2022-05-10",155.520004,156.740005,152.929993,154.509995,115366700,153.805313
"2022-05-11",153.5,155.449997,145.809998,146.5,142689800,145.831848
"2022-05-12",142.770004,146.199997,138.800003,142.559998,182602000,141.909821
"2022-05-13",144.589996,148.100006,143.110001,147.110001,113990900,146.439056
"2022-05-16",145.550003,147.520004,144.179993,145.539993,86643800,144.876221
"2022-05-17",148.860001,149.770004,146.679993,149.240005,78336300,148.559341
"2022-05-18",146.850006,147.360001,139.899994,140.820007,109742900,140.17775
"2022-05-19",139.880005,141.660004,136.600006,137.350006,136095600,136.723572
"2022-05-20",139.089996,140.699997,132.610001,137.589996,137426100,136.962463
"2022-05-23",137.789993,143.259995,137.649994,143.110001,117726300,142.457306
"2022-05-24",140.809998,141.970001,137.330002,140.360001,104132700,139.719849
"2022-05-25",138.429993,141.789993,138.339996,140.520004,92482700,139.87912
"2022-05-26",137.389999,144.339996,137.139999,143.779999,90601500,143.124252
"2022-05-27",145.389999,149.679993,145.259995,149.639999,90978500,148.95752
"2022-05-31",149.070007,150.660004,146.839996,148.839996,103718400,148.161163
"2022-06-01",149.899994,151.740005,147.679993,148.710007,74286600,148.031754
"2022-06-02",147.830002,151.270004,146.860001,151.210007,72348100,150.52037
"2022-06-03",146.899994,147.970001,144.460007,145.380005,88570300,144.716949
"2022-06-06",147.029999,148.570007,144.899994,146.139999,71598400,145.47348
"2022-06-07",144.350006,149,144.100006,148.710007,67808200,148.031754
"2022-06-08",148.580002,149.869995,147.460007,147.960007,53950200,147.285187
"2022-06-09",147.080002,147.949997,142.529999,142.639999,69473000,141.989441
"2022-06-10",140.279999,140.759995,137.059998,137.130005,91437900,136.504578
"2022-06-13",132.869995,135.199997,131.440002,131.880005,122207100,131.278519
"2022-06-14",133.130005,133.889999,131.479996,132.759995,84784300,132.15451
"2022-06-15",134.289993,137.339996,132.160004,135.429993,91533000,134.812317
"2022-06-16",132.080002,132.389999,129.039993,130.059998,108123900,129.466812
"2022-06-17",130.070007,133.080002,129.809998,131.559998,134520300,130.959976
"2022-06-21",133.419998,137.059998,133.320007,135.869995,81000500,135.25032
"2022-06-22",134.789993,137.759995,133.910004,135.350006,73409200,134.732697
"2022-06-23",136.820007,138.589996,135.630005,138.270004,72433800,137.639374
"2022-06-24",139.899994,141.910004,139.770004,141.660004,89116800,141.013916
"2022-06-27",142.699997,143.490005,140.970001,141.660004,70207900,141.013916
"2022-06-28",142.130005,143.419998,137.320007,137.440002,67083400,136.813171
"2022-06-29",137.460007,140.669998,136.669998,139.229996,66242400,138.595001
"2022-06-30",137.25,138.369995,133.770004,136.720001,98964500,136.096451
"2022-07-01",136.039993,139.039993,135.660004,138.929993,71051600,138.296356
"2022-07-05",137.770004,141.610001,136.929993,141.559998,73353800,140.914368
"2022-07-06",141.350006,144.119995,141.080002,142.919998,74064300,142.268173
"2022-07-07",143.289993,146.550003,143.279999,146.350006,66253700,145.682526
"2022-07-08",145.259995,147.550003,145,147.039993,64547800,146.36937
"2022-07-11",145.669998,146.639999,143.779999,144.869995,63141600,144.209259
"2022-07-12",145.759995,148.449997,145.050003,145.860001,77588800,145.194763
"2022-07-13",142.990005,146.449997,142.119995,145.490005,71185600,144.826447
"2022-07-14",144.080002,148.949997,143.25,148.470001,78140700,147.792847
"2022-07-15",149.779999,150.860001,148.199997,150.169998,76259900,149.485092
"2022-07-18",150.740005,151.570007,146.699997,147.070007,81420900,146.399246
"2022-07-19",147.919998,151.229996,146.910004,151,82982400,150.311325
"2022-07-20",151.119995,153.720001,150.369995,153.039993,64823400,152.34201
"2022-07-21",154.5,155.570007,151.940002,155.350006,65086600,154.641495
"2022-07-22",155.389999,156.279999,153.410004,154.089996,66675400,153.387222
