"","ADP.Open","ADP.High","ADP.Low","ADP.Close","ADP.Volume","ADP.Adjusted"
"2022-01-03",245.059998,247.470001,241.429993,244.009995,1397000,238.103592
"2022-01-04",243.179993,247.039993,243.179993,245.149994,2124400,239.216003
"2022-01-05",244.580002,246.490005,242.830002,243.059998,2181200,237.176575
"2022-01-06",242.460007,244.690002,240.630005,241.389999,1946500,235.546997
"2022-01-07",240.779999,241.240005,238.729996,238.839996,1462000,233.058746
"2022-01-10",236.339996,237.919998,231.929993,232.889999,1929300,227.252747
"2022-01-11",233.660004,235.419998,230.100006,235.279999,1293000,229.584915
"2022-01-12",235.130005,236.130005,233.210007,234.630005,1202500,228.950638
"2022-01-13",234.860001,236.050003,231.309998,231.929993,1110600,226.315964
"2022-01-14",229.940002,231.339996,226.929993,228.75,1562900,223.212967
"2022-01-18",226,227.820007,222.759995,226.440002,1939500,220.958878
"2022-01-19",227.639999,229.449997,224.729996,224.830002,1613900,219.387848
"2022-01-20",226.600006,228.380005,219.729996,220.309998,2051800,214.977249
"2022-01-21",220.570007,221.729996,216.830002,217.130005,2164400,211.874237
"2022-01-24",215.880005,219.369995,211.029999,218.240005,2981600,212.957382
"2022-01-25",213.089996,218.690002,212.740005,216.880005,2487300,211.63028
"2022-01-26",205.490005,208.270004,196.539993,197.460007,5686900,192.680359
"2022-01-27",198.25,200.580002,194.559998,196.419998,3526600,191.665527
"2022-01-28",196.940002,199.289993,192.690002,199.270004,2261800,194.446564
"2022-01-31",199.339996,207.360001,198.089996,206.169998,3113300,201.17952
"2022-02-01",206.479996,207.259995,202.580002,205.559998,2122700,200.58429
"2022-02-02",205.559998,208.320007,205.220001,207.899994,2149900,202.86763
"2022-02-03",204.330002,207.649994,203.860001,205.130005,1938000,200.164719
"2022-02-04",203.889999,207.330002,201.229996,206.25,2016400,201.257599
"2022-02-07",206.889999,207.979996,205.240005,205.979996,1581900,200.99411
"2022-02-08",204.710007,208.899994,204,208.410004,1503800,203.365311
"2022-02-09",210.470001,211.389999,209.270004,211.160004,2078700,206.048752
"2022-02-10",207.25,208.309998,204.179993,205.539993,2270600,200.564789
"2022-02-11",206.399994,207.399994,203.690002,203.789993,2678700,198.857132
"2022-02-14",204.380005,204.699997,199.690002,201.979996,1899600,197.090927
"2022-02-15",204.479996,204.809998,202.550003,204.020004,1412000,199.081573
"2022-02-16",203.410004,205.229996,201.339996,204.240005,1833900,199.296265
"2022-02-17",202.910004,203.729996,199.990005,200.460007,1600700,195.607742
"2022-02-18",200.050003,202.080002,199.199997,200.449997,2744400,195.597992
"2022-02-22",200.449997,202.449997,198.449997,199.899994,1690200,195.061295
"2022-02-23",200.990005,202.080002,195.880005,196.289993,1646700,191.538666
"2022-02-24",193.5,200.710007,192.259995,200.220001,1965400,195.373566
"2022-02-25",201.029999,204.539993,199.820007,204.360001,1336400,199.413345
"2022-02-28",203.429993,204.869995,201.190002,204.440002,2234600,199.491409
"2022-03-01",203.539993,204.550003,201.149994,202.309998,1503200,197.412964
"2022-03-02",202.949997,207.330002,202.220001,206.289993,1674600,201.296616
"2022-03-03",208.860001,209.610001,203.970001,204.699997,2192200,199.745132
"2022-03-04",203.570007,208.610001,202.619995,208.460007,1492300,203.414108
"2022-03-07",207.720001,211.800003,206.470001,208.389999,2535500,203.345795
"2022-03-08",207.839996,213.059998,204.940002,205.380005,2326300,200.408661
"2022-03-09",210.330002,211.139999,206.070007,209.699997,1791600,204.624084
"2022-03-10",206.509995,210.119995,205.009995,209.429993,2399300,205.379166
"2022-03-11",210.630005,212.350006,206.699997,207.270004,1664800,203.260971
"2022-03-14",207.570007,209.720001,206.210007,207,2064100,202.996185
"2022-03-15",210,212.880005,208.619995,212.309998,2220200,208.203476
"2022-03-16",212.990005,214.559998,207.860001,212.460007,2086300,208.350601
"2022-03-17",211.720001,214,211.350006,213.919998,1453700,209.782333
"2022-03-18",213.919998,217.470001,212.229996,214.690002,6168400,210.53746
"2022-03-21",214.25,215.279999,210.360001,212.529999,2064500,208.41922
"2022-03-22",212.660004,215.550003,211.369995,215.210007,1893900,211.047409
"2022-03-23",215.779999,215.789993,212.470001,212.570007,1120200,208.45845
"2022-03-24",213.839996,217.089996,212.710007,216.949997,1153300,212.753738
"2022-03-25",217.710007,219.070007,216.529999,219.039993,1249800,214.803299
"2022-03-28",219.089996,220.669998,218.119995,220.649994,1202800,216.382156
"2022-03-29",222.860001,225.440002,222,224.949997,1560800,220.598999
"2022-03-30",223.679993,228.520004,222.639999,227.759995,1628800,223.354645
"2022-03-31",229.179993,232.070007,227.529999,227.539993,3306800,223.138885
"2022-04-01",228.270004,233.899994,227.089996,233.5,1934800,228.983627
"2022-04-04",233.759995,236.130005,233.369995,235.179993,1962700,230.631119
"2022-04-05",234.929993,240.630005,234.550003,238,2519300,233.396591
"2022-04-06",235.690002,239.050003,235.380005,237.789993,2308600,233.190643
"2022-04-07",236.580002,239.559998,236.550003,238.5,2141700,233.886917
"2022-04-08",238.380005,239.679993,236.770004,237.710007,1469300,233.112213
"2022-04-11",237.729996,238.720001,230.580002,230.960007,2087400,226.492752
"2022-04-12",234.259995,234.929993,230.600006,231.059998,1703600,226.59082
"2022-04-13",231.850006,234.169998,231.779999,233.740005,1566200,229.218994
"2022-04-14",233.740005,234.669998,228.619995,229.199997,2213600,224.7668
"2022-04-18",228,229.779999,225.300003,227.199997,2253000,222.805481
"2022-04-19",227.199997,230.460007,225.389999,229.600006,2263300,225.159058
"2022-04-20",231.770004,233.119995,231.089996,232.619995,1545700,228.120636
"2022-04-21",233.369995,235.25,229.570007,230.179993,1343100,225.727844
"2022-04-22",230.589996,232.199997,223.300003,223.520004,1622300,219.196655
"2022-04-25",223.169998,227.410004,221.710007,227.059998,1810300,222.668182
"2022-04-26",224.639999,227.220001,222.169998,222.279999,2175600,217.980637
"2022-04-27",225,232.779999,223.479996,228,2292300,223.589996
"2022-04-28",229.220001,231.690002,227.580002,229.679993,2248200,225.237503
"2022-04-29",228.679993,229.160004,217.479996,218.179993,2621400,213.95993
"2022-05-02",219.789993,222.039993,215.130005,219.320007,2283200,215.077896
"2022-05-03",219.970001,222.949997,219.130005,221.539993,1957300,217.254944
"2022-05-04",221.820007,229.419998,220.309998,228.880005,1631500,224.453003
"2022-05-05",228.289993,228.289993,216.149994,218.559998,2103500,214.332596
"2022-05-06",217.169998,218.199997,213.910004,216.940002,1581600,212.743942
"2022-05-09",214.039993,215.229996,209.139999,209.789993,2602600,205.732224
"2022-05-10",212.669998,214.869995,209.350006,212.339996,2527400,208.23291
"2022-05-11",210.639999,214.029999,207.770004,208.529999,2111100,204.496582
"2022-05-12",207.339996,208.869995,204.320007,207.479996,1912600,203.466888
"2022-05-13",209.270004,209.979996,206.869995,208.789993,2390800,204.751556
"2022-05-16",208.619995,209.919998,205.759995,208.600006,1941200,204.565247
"2022-05-17",211.800003,215.580002,210.860001,214.960007,1836500,210.802246
"2022-05-18",213.479996,213.580002,207.800003,208.5,1628800,204.467178
"2022-05-19",208.080002,209.550003,205.539993,206.850006,1617900,202.849106
"2022-05-20",208.860001,209.869995,203.630005,208.639999,2651300,204.604477
"2022-05-23",211.289993,213.089996,209.729996,212.960007,1488200,208.840927
"2022-05-24",212.009995,213.600006,209.779999,212.729996,1863700,208.615356
"2022-05-25",212.179993,214.699997,211.339996,213.899994,1339500,209.762711
"2022-05-26",215,219.910004,214.570007,218.279999,1348300,214.058014
"2022-05-27",220,224.710007,219.639999,224.660004,1464600,220.314621
"2022-05-31",224.160004,225.229996,221.320007,222.940002,3007200,218.627884
"2022-06-01",224.029999,224.699997,218.929993,219.320007,1398700,215.077896
"2022-06-02",219.630005,223.869995,217.570007,223.710007,1412200,219.382996
"2022-06-03",222.669998,222.889999,219.5,220.679993,1445000,216.411591
"2022-06-06",222.490005,224.220001,219.100006,219.509995,1408700,215.264221
"2022-06-07",217.820007,222.740005,217.820007,222.279999,1081000,217.980637
"2022-06-08",220.880005,221.809998,218.580002,219.990005,1030700,215.734955
"2022-06-09",218.479996,221.009995,215.559998,215.699997,1080400,212.532654
"2022-06-10",212.949997,214.220001,210.460007,211.619995,1839000,208.512558
"2022-06-13",206.880005,208.940002,204.100006,204.759995,1796100,201.753296
"2022-06-14",205.520004,205.520004,201.990005,204.130005,1780400,201.132553
"2022-06-15",205.979996,210.139999,203.660004,207.149994,1784500,204.1082
"2022-06-16",203.580002,205.179993,198.550003,199.940002,1796000,197.004074
"2022-06-17",199.440002,201.479996,196.610001,200.279999,3328300,197.339081
"2022-06-21",203.429993,207.429993,202.910004,206.839996,1769300,203.802765
